datetime,121fad25495a747a_apcd.1020,1255097a8d1069dc_arb3.2015,2275481147c5c093_apcd.1021,27a9a690d3e5fea7_arb3.2067,3f17a85a8e1653c0_arb3.2001,7220aaf21ed7f3e4_apcd.1055,7c5c4524cabdf95d_arb3.2023,a56f36849142ff48_arb3.2019,c8f9f28ffb221422_arb3.2062,c9433af1b72dae1e_apcd.1019,cec6dc2148ab7bb3_arb3.2034,e7e2789cdae091ac_apcd.1029
2022-11-19T04:00:00Z,2,3.9,,5.3,-0.4,,,,22.8,15,5.7,-5
2022-11-19T05:00:00Z,5,6.3,,5.4,3.5,,,,20.4,15,-4.8,13
2022-11-19T06:00:00Z,8,-0.3,,0.2,,,,,17,13,18.9,4
2022-11-19T07:00:00Z,1,1.2,,1.7,,,,,11.5,15,5.7,5
2022-11-19T08:00:00Z,-5,5.5,,4.3,,,,,4.4,-0,11,-3
2022-11-19T09:00:00Z,14,3.8,,0.8,,,,,5.7,10,6.6,6
2022-11-19T10:00:00Z,7,1.5,,1.5,,,,,6.2,13,9,-0
2022-11-19T11:00:00Z,2,2.3,,2.5,,,,,3.4,8,0.6,5
2022-11-19T12:00:00Z,7,5.6,,-0.8,,,,,3.4,12,4.7,1
2022-11-19T13:00:00Z,6,3,,5.4,,,,,3.3,9,0.2,1
2022-11-19T14:00:00Z,10,0.3,,2.6,,,,,3.7,16,1.1,2
2022-11-19T15:00:00Z,4,10.4,,-0.4,,,,-6,-0.2,16,5.2,-5
2022-11-19T16:00:00Z,-0,3.4,,-2.6,,,,1.4,-9,8,5.1,-4
2022-11-19T17:00:00Z,-1,-2.1,,1.9,,,,3.2,0.5,-1,9.2,1
2022-11-19T18:00:00Z,6,3.1,,-2.3,3.9,,,3.4,3.9,5,6.6,3
2022-11-19T19:00:00Z,1,-0.8,,10.2,8.9,,,0.4,0.1,20,6.1,-2
2022-11-19T20:00:00Z,-0,1.5,,-2.4,8,,,-1,4.3,-1,5.2,3
2022-11-19T21:00:00Z,7,4.5,,3.6,9.1,,,2.9,1.1,6,0.1,2
2022-11-19T22:00:00Z,7,2.1,,37.2,9.1,,,3.6,1.9,5,5.5,2
2022-11-19T23:00:00Z,7,6.7,,11.1,5.1,,,4.3,12.4,1,7.1,9
2022-11-20T00:00:00Z,-5,-1,,17.3,6.6,,,3.5,3,-5,6.3,5
2022-11-20T01:00:00Z,-5,4.1,,11.8,0.2,,,2.1,3.3,-0,0.2,6
2022-11-20T02:00:00Z,9,3.9,,,,,,9.2,16,5,0.3,5
2022-11-20T03:00:00Z,7,9,,,,,,8.4,16.9,8,0.1,42
2022-11-20T04:00:00Z,5,3.7,,,,,,1.9,8,12,0.4,73
2022-11-20T05:00:00Z,6,3.5,,,,,,-0.6,23.2,10,0.5,52
2022-11-20T06:00:00Z,-1,3.4,,,,,,0.6,35.9,22,4,55
2022-11-20T07:00:00Z,10,3.8,,,,,,0.4,29.8,6,5.3,51
2022-11-20T08:00:00Z,-4,,,,,,,3.3,17.6,5,-0.8,44
2022-11-20T09:00:00Z,4,,,,,,,-3.2,18.4,13,1.4,39
2022-11-20T10:00:00Z,6,,,,,,,-3.8,6.5,16,1.4,
2022-11-20T11:00:00Z,-3,,,,,,,-2.2,7.5,9,2.7,37
2022-11-20T12:00:00Z,3,,,,,,,-6,11.5,10,1.1,
2022-11-20T13:00:00Z,2,,,,,,,-3.7,8,6,0.9,
2022-11-20T14:00:00Z,3,,,,,,,-2.2,3.2,1,-1,
2022-11-20T15:00:00Z,3,,,,,,,-0.4,8.2,5,3.4,
2022-11-20T16:00:00Z,-5,,,,,,,2.1,6.5,39,4.2,-5
2022-11-20T17:00:00Z,-5,,,,,,,2.3,-0.4,12,12.5,-5
2022-11-20T18:00:00Z,21,5.5,,,,,,0.6,-4.7,19,7.1,8
2022-11-20T19:00:00Z,-5,-1.5,,-15,,,,-4.2,6.6,14,1.8,-0
2022-11-20T20:00:00Z,5,-2.1,,-13.6,-4.7,,,-2.5,4.6,-0,2.4,-5
2022-11-20T21:00:00Z,-1,0.7,,7.5,1.5,,,1.5,5.6,4,1.8,6
2022-11-20T22:00:00Z,12,7.1,,8.2,2.6,,,1.8,9,3,0.6,-0
2022-11-20T23:00:00Z,3,9.4,,14.7,10.7,,,0.4,17.1,-5,-1.6,15
2022-11-21T00:00:00Z,-5,-2.5,,20.2,11,,,2.2,1,4,-1.7,19
2022-11-21T01:00:00Z,3,0.5,,,8.4,,,7.2,-1.2,-0,-0.1,11
2022-11-21T02:00:00Z,-1,2.7,,,,,,2.4,9.4,2,0.6,28
2022-11-21T03:00:00Z,4,6.2,,,,,,-2.4,18.4,10,-0.5,56
2022-11-21T04:00:00Z,2,6.3,,,,,,-1.3,25.9,11,5.8,67
2022-11-21T05:00:00Z,8,5.3,,,,,,0.6,43.8,14,0.9,53
2022-11-21T06:00:00Z,6,3.9,,,,,,-2.5,49.8,13,-1.9,46
2022-11-21T07:00:00Z,-2,5.7,,,,,,-3.5,33.9,15,-1.1,
2022-11-21T08:00:00Z,-5,,,,,,,-4.2,30.7,-4,1.9,
2022-11-21T09:00:00Z,2,,,,,,,-2.8,16.4,8,1.1,53
2022-11-21T10:00:00Z,3,,,,,,,-2.6,15.7,7,0.6,39
2022-11-21T11:00:00Z,5,,,,,,,-3.9,10.9,3,-1.1,
2022-11-21T12:00:00Z,2,,,,,,,-4.6,7.7,6,2.8,
2022-11-21T13:00:00Z,5,,,,,,,2.7,9.3,3,-2.4,
2022-11-21T14:00:00Z,8,,,,,,,-0.1,8.2,2,-0.1,
2022-11-21T15:00:00Z,9,,,,,,,-4.2,6.8,4,0,
2022-11-21T16:00:00Z,3,,,,,,,2.9,4.4,3,2.9,-5
